part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
2010123,T,1,20,0,20,0,0,1,1,1,age13-19,Group Cont
2010124,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010125,T,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
2010201,T,1,20,0,5,0,0,0,1,0,age20-60,Group Cont
2010202,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010203,T,1,20,1,NA,0,0,0,1,0,age20-60,Group Cont
2010204,T,0,0,0,2,0,0,0,0,0,No Group Cont,No Group Cont
2010205,T,1,80,1,NA,1,1,1,1,1,age0-6,Group Cont
2010206,T,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
2010207,T,0,0,0,5,0,0,0,0,0,No Group Cont,No Group Cont
2010208,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010209,T,0,0,0,4,0,0,0,0,0,No Group Cont,No Group Cont
2010210,T,0,0,0,6,0,0,0,0,0,No Group Cont,No Group Cont
2010211,T,0,0,0,5,0,0,0,0,0,No Group Cont,No Group Cont
2010212,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010213,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010214,T,0,0,0,5,0,0,0,0,0,No Group Cont,No Group Cont
2010215,T,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010216,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010217,T,1,40,1,NA,1,0,0,1,0,age0-6,Group Cont
2010218,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010219,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010220,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010222,T,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
2010223,T,0,0,0,6,0,0,0,0,0,No Group Cont,No Group Cont
2010224,T,1,25,1,NA,0,1,0,0,0,age6-12,Group Cont
2010225,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010301,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010302,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010303,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
2010304,T,0,0,0,10,0,0,0,0,0,No Group Cont,No Group Cont
2010305,T,1,30,0,20,0,0,0,1,0,age20-60,Group Cont
2010306,T,1,28,0,5,0,0,0,0,1,age60-,Group Cont
